id,price
12800,361470.2166
6368,296722.6522
7596,250818.0483
1315,375203.5554
17461,173972.8515
385,531223.2772
18920,372898.112
11750,339269.1533
9716,426716.5681
4858,312837.0101
10159,440355.1558
17674,244067.638
16078,418211.537
1212,439764.3899
15120,401463.4638
15452,365379.9542
6466,402231.4985
4790,502051.1193
11061,384589.5113
7292,314332.6786
20605,265631.5325
5818,391229.6491
16518,308246.7052
18287,364330.1913
5229,1294727.597
13651,306295.0843
10156,453633.615
6522,384501.4788
10039,348327.7676
8432,257233.8356
18441,235200.5246
10696,409242.6881
19611,322398.1255
6054,471451.4113
20268,1098249.847
2203,318257.7347
14554,373227.6403
8866,301119.26
14525,355591.8604
10893,267568.9154
1211,333322.6802
2647,304614.7494
14776,538412.0591
15824,335792.1658
14796,209323.8828
1683,365209.6154
7160,331411.1549
15182,292626.7698
1174,300787.7462
2983,399417.1242
17846,209349.6694
9755,322176.023
6048,263849.2434
2530,325486.1679
7200,395312.4174
2707,304776.719
7771,343813.4058
4842,352781.9376
7588,367261.9518
19308,270827.4919
6770,385903.1176
5401,334190.1336
3193,306748.0755
178,232192.8297
19277,421007.021
19719,401554.1629
14732,269810.6692
14343,299115.897
3462,274803.0561
17460,496742.1147
11634,283346.8002
13470,289445.9929
1944,249456.0463
10821,341996.5837
91,261681.946
4493,349764.1977
12370,349753.1094
2749,281691.7054
7287,384783.6433
2864,653059.8216
13681,296287.1499
16878,688291.6898
16418,549704.0374
21271,312749.0085
17152,449032.6177
3531,321618.6973
12279,323997.3437
3830,263152.0077
10884,233302.7912
19268,350965.7304
2834,360997.836
21533,538087.3368
4743,212832.8504
16188,334955.7854
2967,308316.0313
12867,260348.5794
7653,474769.9771
7741,338247.4774
14876,344256.6112
15518,475222.0579
12961,297089.7898
2206,358844.2965
463,246748.5312
8469,257071.8957
390,375246.9123
10057,417280.9474
20310,457549.4514
6746,245982.1786
2179,315835.4023
11642,299468.14
7600,329177.1814
18923,298931.6679
9304,354854.5906
15709,311412.9541
2851,260366.7815
20570,513046.2303
4405,287996.7373
2173,431282.3572
7266,333122.2204
9797,485725.2874
9120,322150.4042
5977,340165.809
13013,416885.0751
16887,327675.1272
1264,370650.0168
5126,315576.8049
16529,427909.3957
15210,345786.7955
12374,209864.1501
20789,319892.6349
14409,305474.8998
12409,337019.9775
16782,308143.3097
6135,397597.0735
13478,1717881.405
1414,384259.3344
11006,381357.208
3,273066.0326
17334,299364.6759
4889,282545.9921
5519,495344.8694
7306,398285.1015
6634,496865.7387
6540,364032.4721
3083,348592.5639
15467,296100.9544
18909,210501.5538
17021,348870.291
18163,329389.5145
19771,486492.3704
16947,381792.8295
